restaurant_id,inspection_date,result,inspector_id,cuisine_type,seating_capacity,ownership_type,county,days_since_last_inspection,prior_critical_count,renovation_disclosed,complaint_text,neighborhood_median_income
R0001,2024-11-23,minor,I015,American,58,independent,DuPage,230,1,,no complaints filed in past 90 days,81680
R0002,2024-04-21,pass,I030,Cafe,79,independent,Peoria,447,0,,,92240
R0003,2024-01-04,pass,I021,Seafood,49,chain,DuPage,453,0,No,routine check; nothing unusual reported,30267
R0004,2024-10-01,pass,I016,Seafood,21,independent,Peoria,297,2,,no complaints filed in past 90 days,91833
R0005,2024-02-05,pass,I006,Pizza,74,independent,DuPage,60,0,,,68609
R0006,2024-12-09,pass,I035,Mexican,41,independent,Peoria,350,0,,,48971
R0007,2024-10-12,pass,I029,BBQ,93,independent,Cook,105,1,,,106488
R0008,2024-06-10,pass,I028,Bakery,91,chain,Winnebago,426,1,,minor signage issue noted on previous visit,71434
R0009,2024-08-07,critical,I075,Seafood,8,independent,Peoria,837,0,,manager certificate expired (renewing),70144
R0010,2024-12-14,minor,I055,Mexican,44,chain,Kendall,198,0,,minor signage issue noted on previous visit,47992
R0011,2024-12-14,pass,I015,Cafe,60,chain,DuPage,60,0,Yes,,105060
R0012,2024-09-13,pass,I023,Cafe,39,independent,Will,481,0,,manager certificate expired (renewing),40035
R0013,2024-09-28,pass,I001,BBQ,42,chain,Will,371,0,,routine check; nothing unusual reported,53875
R0014,2024-02-05,pass,I069,Asian,54,independent,Winnebago,467,0,,minor signage issue noted on previous visit,57667
R0015,2024-10-03,minor,I026,Mediterranean,17,chain,Winnebago,524,2,,,62105
R0016,2024-10-10,minor,I030,Pizza,72,independent,DuPage,348,0,No,,54603
R0017,2024-05-01,pass,I036,Bakery,64,chain,Lake,458,1,,manager certificate expired (renewing),65633
R0018,2024-08-04,minor,I053,Bakery,74,independent,DuPage,634,1,Yes,,75199
R0019,2024-08-17,pass,I018,Seafood,75,independent,Winnebago,548,1,,,88110
R0020,2024-01-08,minor,I012,Pizza,89,independent,Kendall,240,0,No,manager certificate expired (renewing),63374
R0021,2024-07-18,minor,I034,Bakery,48,chain,Kane,636,0,,manager certificate expired (renewing),95495
